,img1,img2,distance
283,flavifrons4.png,balteatus1.png,[0.04055252]
284,flavifrons5.png,balteatus1.png,[0.03183521]
285,flavifrons6.png,balteatus1.png,[0.03965342]
286,franklini.png,balteatus1.png,[0.0831608]
287,fraternus.png,balteatus1.png,[0.03254104]
288,frigidus.png,balteatus1.png,[0.00399005]
289,griseocollis.png,balteatus1.png,[0.06466284]
290,huntii.png,balteatus1.png,[0.02445195]
291,impatiens.png,balteatus1.png,[0.0553744]
292,melanopygus1.png,balteatus1.png,[0.04094832]
293,melanopygus2.png,balteatus1.png,[0.03466505]
294,melanopygus3.png,balteatus1.png,[0.0405791]
295,mixtus.png,balteatus1.png,[0.02333864]
296,morrisoni.png,balteatus1.png,[0.04778592]
297,nevadensis.png,balteatus1.png,[0.04784399]
298,occidentalis1.png,balteatus1.png,[0.01324577]
299,occidentalis2.png,balteatus1.png,[0.07112923]
300,occidentalis3.png,balteatus1.png,[0.05715559]
301,pennsylvanicus1.png,balteatus1.png,[0.02710319]
302,pennsylvanicus2.png,balteatus1.png,[0.03926498]
303,pennsylvanicus3.png,balteatus1.png,[0.03952803]
304,perplexus.png,balteatus1.png,[0.04816536]
305,rufocinctus1.png,balteatus1.png,[0.02486258]
306,rufocinctus2.png,balteatus1.png,[0.03489655]
307,rufocinctus3.png,balteatus1.png,[0.02880893]
308,rufocinctus4.png,balteatus1.png,[0.02273365]
309,sandersoni.png,balteatus1.png,[0.03091327]
310,sitkensis.png,balteatus1.png,[0.02136928]
311,sylvicola1.png,balteatus1.png,[0.02631094]
312,sylvicola2.png,balteatus1.png,[0.03607279]
313,sylvicola3.png,balteatus1.png,[0.018866]
314,ternarius.png,balteatus1.png,[0.03114538]
315,terricola1.png,balteatus1.png,[0.03952803]
316,terricola2.png,balteatus1.png,[0.02766882]
317,vagans.png,balteatus1.png,[0.0340616]
318,vandykei.png,balteatus1.png,[0.04645458]
319,vosnesenskii.png,balteatus1.png,[0.07154004]
320,affinis.png,balteatus2.png,[0.01336318]
321,appositus.png,balteatus2.png,[0.02190584]
322,auricomus1.png,balteatus2.png,[0.01207135]
323,auricomus.png,balteatus2.png,[0.01392271]
324,balteatus1.png,balteatus2.png,[0.01679838]
325,balteatus2.png,balteatus2.png,[0.]
326,balteatus.png,balteatus2.png,[0.01760659]
327,bifarius1.png,balteatus2.png,[0.02501057]
328,bifarius2.png,balteatus2.png,[0.03164079]
329,bifarius3.png,balteatus2.png,[0.03819022]
330,bifarius4.png,balteatus2.png,[0.0355424]
331,bimaculatus.png,balteatus2.png,[0.03203222]
332,borealis1.png,balteatus2.png,[0.02190584]
333,borealis2.png,balteatus2.png,[0.01504059]
334,californicus1.png,balteatus2.png,[0.02752683]
335,californicus2.png,balteatus2.png,[0.02567962]
336,californicus3.png,balteatus2.png,[0.04037979]
337,caliginosus2.png,balteatus2.png,[0.05897874]
338,caliginosus.png,balteatus2.png,[0.04235239]
339,centralis.png,balteatus2.png,[0.01376261]
340,crotchii1.png,balteatus2.png,[0.02262981]
341,crotchii2.png,balteatus2.png,[0.01744363]
342,crotchii.png,balteatus2.png,[0.01888258]
343,fervidus.png,balteatus2.png,[0.01133003]
344,flavifrons1.png,balteatus2.png,[0.02390778]
345,flavifrons2.png,balteatus2.png,[0.02344969]
346,flavifrons3.png,balteatus2.png,[0.01890624]
347,flavifrons4.png,balteatus2.png,[0.02112597]
348,flavifrons5.png,balteatus2.png,[0.01567928]
349,flavifrons6.png,balteatus2.png,[0.02228103]
350,franklini.png,balteatus2.png,[0.06700753]
351,fraternus.png,balteatus2.png,[0.0087615]
352,frigidus.png,balteatus2.png,[0.01508386]
353,griseocollis.png,balteatus2.png,[0.03691952]
354,huntii.png,balteatus2.png,[0.02653208]
355,impatiens.png,balteatus2.png,[0.02847058]
356,melanopygus1.png,balteatus2.png,[0.04160497]
357,melanopygus2.png,balteatus2.png,[0.03368109]
358,melanopygus3.png,balteatus2.png,[0.03131287]
359,mixtus.png,balteatus2.png,[0.02465436]
360,morrisoni.png,balteatus2.png,[0.02820478]
361,nevadensis.png,balteatus2.png,[0.02505902]
362,occidentalis1.png,balteatus2.png,[0.02369855]
363,occidentalis2.png,balteatus2.png,[0.06479152]
364,occidentalis3.png,balteatus2.png,[0.05851583]
365,pennsylvanicus1.png,balteatus2.png,[0.00868351]
366,pennsylvanicus2.png,balteatus2.png,[0.01737761]
367,pennsylvanicus3.png,balteatus2.png,[0.01891088]
368,perplexus.png,balteatus2.png,[0.02021845]
369,rufocinctus1.png,balteatus2.png,[0.01190649]
370,rufocinctus2.png,balteatus2.png,[0.01634794]
371,rufocinctus3.png,balteatus2.png,[0.01241676]
372,rufocinctus4.png,balteatus2.png,[0.00447268]
373,sandersoni.png,balteatus2.png,[0.00930511]
374,sitkensis.png,balteatus2.png,[0.03048375]
375,sylvicola1.png,balteatus2.png,[0.03178683]
376,sylvicola2.png,balteatus2.png,[0.03124256]
377,sylvicola3.png,balteatus2.png,[0.02691567]
378,ternarius.png,balteatus2.png,[0.02674064]
379,terricola1.png,balteatus2.png,[0.01891088]
380,terricola2.png,balteatus2.png,[0.0170499]
381,vagans.png,balteatus2.png,[0.01139962]
382,vandykei.png,balteatus2.png,[0.03293138]
383,vosnesenskii.png,balteatus2.png,[0.06390087]
384,affinis.png,balteatus.png,[0.03181748]
385,appositus.png,balteatus.png,[0.00746452]
386,auricomus1.png,balteatus.png,[0.02562189]
387,auricomus.png,balteatus.png,[0.02937719]
388,balteatus1.png,balteatus.png,[0.01099151]
389,balteatus2.png,balteatus.png,[0.01760659]
390,balteatus.png,balteatus.png,[0.]
391,bifarius1.png,balteatus.png,[0.01827008]
392,bifarius2.png,balteatus.png,[0.03237854]
393,bifarius3.png,balteatus.png,[0.04521476]
394,bifarius4.png,balteatus.png,[0.04079597]
395,bimaculatus.png,balteatus.png,[0.05606462]
396,borealis1.png,balteatus.png,[0.00746452]
397,borealis2.png,balteatus.png,[0.00752321]
398,californicus1.png,balteatus.png,[0.0300721]
399,californicus2.png,balteatus.png,[0.03149853]
400,californicus3.png,balteatus.png,[0.05324897]
401,caliginosus2.png,balteatus.png,[0.07521247]
402,caliginosus.png,balteatus.png,[0.05074437]
403,centralis.png,balteatus.png,[0.01312011]
404,crotchii1.png,balteatus.png,[0.01987039]
405,crotchii2.png,balteatus.png,[0.03660008]
406,crotchii.png,balteatus.png,[0.0187807]
407,fervidus.png,balteatus.png,[0.01064755]
408,flavifrons1.png,balteatus.png,[0.03206579]
409,flavifrons2.png,balteatus.png,[0.01920361]
410,flavifrons3.png,balteatus.png,[0.03525086]
411,flavifrons4.png,balteatus.png,[0.04333933]
412,flavifrons5.png,balteatus.png,[0.03516439]
413,flavifrons6.png,balteatus.png,[0.04173489]
414,franklini.png,balteatus.png,[0.08579952]
415,fraternus.png,balteatus.png,[0.03370345]
416,frigidus.png,balteatus.png,[0.00936984]
417,griseocollis.png,balteatus.png,[0.06024201]
418,huntii.png,balteatus.png,[0.01298507]
419,impatiens.png,balteatus.png,[0.05135918]
420,melanopygus1.png,balteatus.png,[0.04485036]
421,melanopygus2.png,balteatus.png,[0.02654776]
422,melanopygus3.png,balteatus.png,[0.03416847]
423,mixtus.png,balteatus.png,[0.02314097]
424,morrisoni.png,balteatus.png,[0.03473459]
425,nevadensis.png,balteatus.png,[0.03812019]
426,occidentalis1.png,balteatus.png,[0.01607047]
427,occidentalis2.png,balteatus.png,[0.07434654]
428,occidentalis3.png,balteatus.png,[0.06286516]
429,pennsylvanicus1.png,balteatus.png,[0.02177676]
430,pennsylvanicus2.png,balteatus.png,[0.03473683]
431,pennsylvanicus3.png,balteatus.png,[0.03555201]
432,perplexus.png,balteatus.png,[0.04368865]
433,rufocinctus1.png,balteatus.png,[0.01390133]
434,rufocinctus2.png,balteatus.png,[0.03308325]
435,rufocinctus3.png,balteatus.png,[0.03138749]
436,rufocinctus4.png,balteatus.png,[0.0242964]
437,sandersoni.png,balteatus.png,[0.03262361]
438,sitkensis.png,balteatus.png,[0.03544383]
439,sylvicola1.png,balteatus.png,[0.01950286]
440,sylvicola2.png,balteatus.png,[0.03463252]
441,sylvicola3.png,balteatus.png,[0.01793193]
442,ternarius.png,balteatus.png,[0.02029369]
443,terricola1.png,balteatus.png,[0.03555201]
444,terricola2.png,balteatus.png,[0.02574423]
445,vagans.png,balteatus.png,[0.03449404]
446,vandykei.png,balteatus.png,[0.04757233]
447,vosnesenskii.png,balteatus.png,[0.07301232]
448,affinis.png,bifarius1.png,[0.02565272]
449,appositus.png,bifarius1.png,[0.02299852]
450,auricomus1.png,bifarius1.png,[0.0219957]
451,auricomus.png,bifarius1.png,[0.02447565]
452,balteatus1.png,bifarius1.png,[0.0254054]
453,balteatus2.png,bifarius1.png,[0.02501057]
454,balteatus.png,bifarius1.png,[0.01827008]
455,bifarius1.png,bifarius1.png,[0.]
456,bifarius2.png,bifarius1.png,[0.01294662]
457,bifarius3.png,bifarius1.png,[0.02405577]
458,bifarius4.png,bifarius1.png,[0.01843889]
459,bimaculatus.png,bifarius1.png,[0.04422451]
460,borealis1.png,bifarius1.png,[0.02299852]
461,borealis2.png,bifarius1.png,[0.01790041]
462,californicus1.png,bifarius1.png,[0.01926333]
463,californicus2.png,bifarius1.png,[0.01591657]
464,californicus3.png,bifarius1.png,[0.02700598]
465,caliginosus2.png,bifarius1.png,[0.04616023]
466,caliginosus.png,bifarius1.png,[0.02407886]
467,centralis.png,bifarius1.png,[0.01713088]
468,crotchii1.png,bifarius1.png,[0.01255067]
469,crotchii2.png,bifarius1.png,[0.02247973]
470,crotchii.png,bifarius1.png,[0.0141608]
471,fervidus.png,bifarius1.png,[0.0217949]
472,flavifrons1.png,bifarius1.png,[0.03768127]
473,flavifrons2.png,bifarius1.png,[0.03181543]
474,flavifrons3.png,bifarius1.png,[0.03141135]
475,flavifrons4.png,bifarius1.png,[0.036645]
476,flavifrons5.png,bifarius1.png,[0.03362839]
477,flavifrons6.png,bifarius1.png,[0.03527997]
478,franklini.png,bifarius1.png,[0.05714142]
479,fraternus.png,bifarius1.png,[0.03650319]
480,frigidus.png,bifarius1.png,[0.02166248]
481,griseocollis.png,bifarius1.png,[0.04362841]
482,huntii.png,bifarius1.png,[0.00932869]
