,img1,img2,distance
102,rufocinctusmale1.png,appositusmale.png,[0.01786525]
103,rufocinctusmale2.png,appositusmale.png,[0.03732366]
104,rufocinctusmale3.png,appositusmale.png,[0.04772482]
105,sandersonimale.png,appositusmale.png,[0.04282385]
106,sitkensismale1.png,appositusmale.png,[0.02780685]
107,sitkensismale2.png,appositusmale.png,[0.04104572]
108,sylvicolamale1.png,appositusmale.png,[0.02617227]
109,sylvicolamale2.png,appositusmale.png,[0.03668993]
110,sylvicolamale3.png,appositusmale.png,[0.0488636]
111,ternariusmale.png,appositusmale.png,[0.0362944]
112,terricolamale.png,appositusmale.png,[0.05116608]
113,vagansmale.png,appositusmale.png,[0.04904416]
114,vandykeimale.png,appositusmale.png,[0.02702328]
115,vosnesenskiimale.png,appositusmale.png,[0.07633466]
116,affinismale.png,auricomusmale1.png,[0.03566549]
117,appositusmale.png,auricomusmale1.png,[0.04228497]
118,auricomusmale1.png,auricomusmale1.png,[0.]
119,auricomusmale2.png,auricomusmale1.png,[0.039579]
120,balteatusmale1.png,auricomusmale1.png,[0.05029302]
121,balteatusmale2.png,auricomusmale1.png,[0.03288923]
122,balteatusmale3.png,auricomusmale1.png,[0.04342326]
123,bifariusmale1.png,auricomusmale1.png,[0.05747999]
124,bifariusmale2.png,auricomusmale1.png,[0.05015168]
125,bifariusmale3.png,auricomusmale1.png,[0.04316691]
126,bifariusmale4.png,auricomusmale1.png,[0.03154878]
127,bifariusmale5.png,auricomusmale1.png,[0.05042868]
128,bimaculatusmale.png,auricomusmale1.png,[0.04073773]
129,borealismale.png,auricomusmale1.png,[0.04206203]
130,californicusmale1.png,auricomusmale1.png,[0.05625665]
131,caliginosusmale.png,auricomusmale1.png,[0.06999631]
132,centralismale1.png,auricomusmale1.png,[0.03697782]
133,centralismale2.png,auricomusmale1.png,[0.02771981]
134,crotchiimale1.png,auricomusmale1.png,[0.06556971]
135,crotchiimale2.png,auricomusmale1.png,[0.06057905]
136,crotchiimale3.png,auricomusmale1.png,[0.05083817]
137,fervidusmale1.png,auricomusmale1.png,[0.0090053]
138,flavifronsmale1.png,auricomusmale1.png,[0.01086503]
139,flavifronsmale2.png,auricomusmale1.png,[0.02699035]
140,flavifronsmale3.png,auricomusmale1.png,[0.02621625]
141,flavifronsmale4.png,auricomusmale1.png,[0.02529572]
142,franklinimale.png,auricomusmale1.png,[0.07666353]
143,fraternusmale1.png,auricomusmale1.png,[0.03123761]
144,fraternusmale2.png,auricomusmale1.png,[0.04808604]
145,frigidusmale.png,auricomusmale1.png,[0.06365613]
146,griseocollismale.png,auricomusmale1.png,[0.04485923]
147,huntiimale.png,auricomusmale1.png,[0.02307432]
148,impatiensmale.png,auricomusmale1.png,[0.05167796]
149,melanopygusmale1.png,auricomusmale1.png,[0.02750256]
150,melanopygusmale2.png,auricomusmale1.png,[0.01455518]
151,melanopygusmale3.png,auricomusmale1.png,[0.01610099]
152,melanopygusmale4.png,auricomusmale1.png,[0.06036533]
153,melanopygusmale5.png,auricomusmale1.png,[0.05306233]
154,mixtusmale.png,auricomusmale1.png,[0.047306]
155,morrisonimale.png,auricomusmale1.png,[0.01155431]
156,nevadensismale.png,auricomusmale1.png,[0.06496687]
157,occidentalismale.png,auricomusmale1.png,[0.09939522]
158,pensylvanicusmale.png,auricomusmale1.png,[0.03407338]
159,perplexusmale.png,auricomusmale1.png,[0.02368629]
160,rufocinctusmale1.png,auricomusmale1.png,[0.02800421]
161,rufocinctusmale2.png,auricomusmale1.png,[0.01303918]
162,rufocinctusmale3.png,auricomusmale1.png,[0.04965563]
163,sandersonimale.png,auricomusmale1.png,[0.03376888]
164,sitkensismale1.png,auricomusmale1.png,[0.03571536]
165,sitkensismale2.png,auricomusmale1.png,[0.05311848]
166,sylvicolamale1.png,auricomusmale1.png,[0.03476085]
167,sylvicolamale2.png,auricomusmale1.png,[0.03650266]
168,sylvicolamale3.png,auricomusmale1.png,[0.04847694]
169,ternariusmale.png,auricomusmale1.png,[0.03643236]
170,terricolamale.png,auricomusmale1.png,[0.04564433]
171,vagansmale.png,auricomusmale1.png,[0.03349869]
172,vandykeimale.png,auricomusmale1.png,[0.00974463]
173,vosnesenskiimale.png,auricomusmale1.png,[0.0699061]
174,affinismale.png,auricomusmale2.png,[0.03178759]
175,appositusmale.png,auricomusmale2.png,[0.03054233]
176,auricomusmale1.png,auricomusmale2.png,[0.039579]
177,auricomusmale2.png,auricomusmale2.png,[0.]
178,balteatusmale1.png,auricomusmale2.png,[0.03488974]
179,balteatusmale2.png,auricomusmale2.png,[0.02806811]
180,balteatusmale3.png,auricomusmale2.png,[0.02916581]
181,bifariusmale1.png,auricomusmale2.png,[0.0276635]
182,bifariusmale2.png,auricomusmale2.png,[0.01747739]
183,bifariusmale3.png,auricomusmale2.png,[0.03240117]
184,bifariusmale4.png,auricomusmale2.png,[0.01977585]
185,bifariusmale5.png,auricomusmale2.png,[0.02485016]
186,bimaculatusmale.png,auricomusmale2.png,[0.05024285]
187,borealismale.png,auricomusmale2.png,[0.02768016]
188,californicusmale1.png,auricomusmale2.png,[0.02760304]
189,caliginosusmale.png,auricomusmale2.png,[0.04242321]
190,centralismale1.png,auricomusmale2.png,[0.06863448]
191,centralismale2.png,auricomusmale2.png,[0.01413448]
192,crotchiimale1.png,auricomusmale2.png,[0.02604579]
193,crotchiimale2.png,auricomusmale2.png,[0.02358053]
194,crotchiimale3.png,auricomusmale2.png,[0.02012502]
195,fervidusmale1.png,auricomusmale2.png,[0.04929687]
196,flavifronsmale1.png,auricomusmale2.png,[0.03322023]
197,flavifronsmale2.png,auricomusmale2.png,[0.02413342]
198,flavifronsmale3.png,auricomusmale2.png,[0.02915868]
199,flavifronsmale4.png,auricomusmale2.png,[0.01851401]
200,franklinimale.png,auricomusmale2.png,[0.07784931]
201,fraternusmale1.png,auricomusmale2.png,[0.02275331]
202,fraternusmale2.png,auricomusmale2.png,[0.02230911]
203,frigidusmale.png,auricomusmale2.png,[0.02597276]
204,griseocollismale.png,auricomusmale2.png,[0.05184292]
205,huntiimale.png,auricomusmale2.png,[0.02152018]
206,impatiensmale.png,auricomusmale2.png,[0.0500176]
207,melanopygusmale1.png,auricomusmale2.png,[0.02695742]
208,melanopygusmale2.png,auricomusmale2.png,[0.03899164]
209,melanopygusmale3.png,auricomusmale2.png,[0.03574357]
210,melanopygusmale4.png,auricomusmale2.png,[0.0256522]
211,melanopygusmale5.png,auricomusmale2.png,[0.01945392]
212,mixtusmale.png,auricomusmale2.png,[0.03167075]
213,morrisonimale.png,auricomusmale2.png,[0.04323391]
214,nevadensismale.png,auricomusmale2.png,[0.02527063]
215,occidentalismale.png,auricomusmale2.png,[0.07502864]
216,pensylvanicusmale.png,auricomusmale2.png,[0.0664722]
217,perplexusmale.png,auricomusmale2.png,[0.03613259]
218,rufocinctusmale1.png,auricomusmale2.png,[0.01891461]
219,rufocinctusmale2.png,auricomusmale2.png,[0.03347752]
220,rufocinctusmale3.png,auricomusmale2.png,[0.02003948]
221,sandersonimale.png,auricomusmale2.png,[0.01767229]
222,sitkensismale1.png,auricomusmale2.png,[0.04811929]
223,sitkensismale2.png,auricomusmale2.png,[0.03737795]
224,sylvicolamale1.png,auricomusmale2.png,[0.01548967]
225,sylvicolamale2.png,auricomusmale2.png,[0.01870985]
226,sylvicolamale3.png,auricomusmale2.png,[0.02075326]
227,ternariusmale.png,auricomusmale2.png,[0.01421132]
228,terricolamale.png,auricomusmale2.png,[0.02529812]
229,vagansmale.png,auricomusmale2.png,[0.02222742]
230,vandykeimale.png,auricomusmale2.png,[0.03303865]
231,vosnesenskiimale.png,auricomusmale2.png,[0.04049476]
232,affinismale.png,balteatusmale1.png,[0.06143146]
233,appositusmale.png,balteatusmale1.png,[0.03093186]
234,auricomusmale1.png,balteatusmale1.png,[0.05029302]
235,auricomusmale2.png,balteatusmale1.png,[0.03488974]
236,balteatusmale1.png,balteatusmale1.png,[0.]
237,balteatusmale2.png,balteatusmale1.png,[0.02608036]
238,balteatusmale3.png,balteatusmale1.png,[0.03288236]
239,bifariusmale1.png,balteatusmale1.png,[0.06421207]
240,bifariusmale2.png,balteatusmale1.png,[0.03623678]
241,bifariusmale3.png,balteatusmale1.png,[0.06415098]
242,bifariusmale4.png,balteatusmale1.png,[0.04417141]
243,bifariusmale5.png,balteatusmale1.png,[0.05607778]
244,bimaculatusmale.png,balteatusmale1.png,[0.0839992]
245,borealismale.png,balteatusmale1.png,[0.02743019]
246,californicusmale1.png,balteatusmale1.png,[0.05741578]
247,caliginosusmale.png,balteatusmale1.png,[0.08086848]
248,centralismale1.png,balteatusmale1.png,[0.05294408]
249,centralismale2.png,balteatusmale1.png,[0.0432285]
250,crotchiimale1.png,balteatusmale1.png,[0.02616366]
251,crotchiimale2.png,balteatusmale1.png,[0.0295566]
252,crotchiimale3.png,balteatusmale1.png,[0.04952722]
253,fervidusmale1.png,balteatusmale1.png,[0.04727222]
254,flavifronsmale1.png,balteatusmale1.png,[0.05165155]
255,flavifronsmale2.png,balteatusmale1.png,[0.05576051]
