img1,img2,distance
vandykei.png,auricomus1.png,0
vosnesenskii.png,auricomus1.png,0
affinis.png,auricomus.png,0
appositus.png,auricomus.png,0
auricomus1.png,auricomus.png,0
auricomus.png,auricomus.png,0
balteatus1.png,auricomus.png,0
balteatus2.png,auricomus.png,0
balteatus.png,auricomus.png,0
bifarius1.png,auricomus.png,0
bifarius2.png,auricomus.png,0
bifarius3.png,auricomus.png,0
bifarius4.png,auricomus.png,0
bimaculatus.png,auricomus.png,0
borealis1.png,auricomus.png,0
borealis2.png,auricomus.png,0
californicus1.png,auricomus.png,0
californicus2.png,auricomus.png,0
californicus3.png,auricomus.png,0
caliginosus2.png,auricomus.png,0
caliginosus.png,auricomus.png,0
centralis.png,auricomus.png,0
crotchii1.png,auricomus.png,0
crotchii2.png,auricomus.png,0
crotchii.png,auricomus.png,0
fervidus.png,auricomus.png,0
flavifrons1.png,auricomus.png,0
flavifrons2.png,auricomus.png,0
flavifrons3.png,auricomus.png,0
flavifrons4.png,auricomus.png,0
flavifrons5.png,auricomus.png,0
flavifrons6.png,auricomus.png,0
franklini.png,auricomus.png,0
fraternus.png,auricomus.png,0
frigidus.png,auricomus.png,0
griseocollis.png,auricomus.png,0
huntii.png,auricomus.png,0
impatiens.png,auricomus.png,0
melanopygus1.png,auricomus.png,0
melanopygus2.png,auricomus.png,0
melanopygus3.png,auricomus.png,0
mixtus.png,auricomus.png,0
morrisoni.png,auricomus.png,0
nevadensis.png,auricomus.png,0
occidentalis1.png,auricomus.png,0
occidentalis2.png,auricomus.png,0
occidentalis3.png,auricomus.png,0
pennsylvanicus1.png,auricomus.png,0
pennsylvanicus2.png,auricomus.png,0
pennsylvanicus3.png,auricomus.png,0
perplexus.png,auricomus.png,0
rufocinctus1.png,auricomus.png,0
rufocinctus2.png,auricomus.png,0
rufocinctus3.png,auricomus.png,0
rufocinctus4.png,auricomus.png,0
sandersoni.png,auricomus.png,0
sitkensis.png,auricomus.png,0
sylvicola1.png,auricomus.png,0
sylvicola2.png,auricomus.png,0
sylvicola3.png,auricomus.png,0
ternarius.png,auricomus.png,0
terricola1.png,auricomus.png,0
terricola2.png,auricomus.png,0
vagans.png,auricomus.png,0
vandykei.png,auricomus.png,0
vosnesenskii.png,auricomus.png,0
affinis.png,balteatus1.png,0
appositus.png,balteatus1.png,0
auricomus1.png,balteatus1.png,0
auricomus.png,balteatus1.png,0
balteatus1.png,balteatus1.png,0
balteatus2.png,balteatus1.png,0
balteatus.png,balteatus1.png,0
bifarius1.png,balteatus1.png,0
bifarius2.png,balteatus1.png,0
bifarius3.png,balteatus1.png,0
bifarius4.png,balteatus1.png,0
bimaculatus.png,balteatus1.png,0
borealis1.png,balteatus1.png,0
borealis2.png,balteatus1.png,0
californicus1.png,balteatus1.png,0
californicus2.png,balteatus1.png,0
californicus3.png,balteatus1.png,0
caliginosus2.png,balteatus1.png,0
caliginosus.png,balteatus1.png,0
centralis.png,balteatus1.png,0
crotchii1.png,balteatus1.png,0
crotchii2.png,balteatus1.png,0
crotchii.png,balteatus1.png,0
fervidus.png,balteatus1.png,0
flavifrons1.png,balteatus1.png,0
flavifrons2.png,balteatus1.png,0
flavifrons3.png,balteatus1.png,0
flavifrons4.png,balteatus1.png,0
flavifrons5.png,balteatus1.png,0
flavifrons6.png,balteatus1.png,0
franklini.png,balteatus1.png,0
fraternus.png,balteatus1.png,0
frigidus.png,balteatus1.png,0
griseocollis.png,balteatus1.png,0
huntii.png,balteatus1.png,0
impatiens.png,balteatus1.png,0
melanopygus1.png,balteatus1.png,0
melanopygus2.png,balteatus1.png,0
melanopygus3.png,balteatus1.png,0
mixtus.png,balteatus1.png,0
morrisoni.png,balteatus1.png,0
nevadensis.png,balteatus1.png,0
occidentalis1.png,balteatus1.png,0
occidentalis2.png,balteatus1.png,0
occidentalis3.png,balteatus1.png,0
pennsylvanicus1.png,balteatus1.png,0
pennsylvanicus2.png,balteatus1.png,0
pennsylvanicus3.png,balteatus1.png,0
perplexus.png,balteatus1.png,0
rufocinctus1.png,balteatus1.png,0
rufocinctus2.png,balteatus1.png,0
rufocinctus3.png,balteatus1.png,0
rufocinctus4.png,balteatus1.png,0
sandersoni.png,balteatus1.png,0
sitkensis.png,balteatus1.png,0
sylvicola1.png,balteatus1.png,0
sylvicola2.png,balteatus1.png,0
sylvicola3.png,balteatus1.png,0
ternarius.png,balteatus1.png,0
terricola1.png,balteatus1.png,0
terricola2.png,balteatus1.png,0
vagans.png,balteatus1.png,0
vandykei.png,balteatus1.png,0
vosnesenskii.png,balteatus1.png,0
affinis.png,balteatus2.png,0
appositus.png,balteatus2.png,0
auricomus1.png,balteatus2.png,0
auricomus.png,balteatus2.png,0
balteatus1.png,balteatus2.png,0
balteatus2.png,balteatus2.png,0
balteatus.png,balteatus2.png,0
bifarius1.png,balteatus2.png,0
bifarius2.png,balteatus2.png,0
bifarius3.png,balteatus2.png,0
bifarius4.png,balteatus2.png,0
bimaculatus.png,balteatus2.png,0
borealis1.png,balteatus2.png,0
borealis2.png,balteatus2.png,0
californicus1.png,balteatus2.png,0
californicus2.png,balteatus2.png,0
californicus3.png,balteatus2.png,0
caliginosus2.png,balteatus2.png,0
caliginosus.png,balteatus2.png,0
centralis.png,balteatus2.png,0
crotchii1.png,balteatus2.png,0
crotchii2.png,balteatus2.png,0
crotchii.png,balteatus2.png,0
fervidus.png,balteatus2.png,0
flavifrons1.png,balteatus2.png,0
flavifrons2.png,balteatus2.png,0
flavifrons3.png,balteatus2.png,0
flavifrons4.png,balteatus2.png,0
flavifrons5.png,balteatus2.png,0
flavifrons6.png,balteatus2.png,0
franklini.png,balteatus2.png,0
fraternus.png,balteatus2.png,0
frigidus.png,balteatus2.png,0
griseocollis.png,balteatus2.png,0
huntii.png,balteatus2.png,0
impatiens.png,balteatus2.png,0
melanopygus1.png,balteatus2.png,0
melanopygus2.png,balteatus2.png,0
melanopygus3.png,balteatus2.png,0
mixtus.png,balteatus2.png,0
morrisoni.png,balteatus2.png,0
nevadensis.png,balteatus2.png,0
occidentalis1.png,balteatus2.png,0
occidentalis2.png,balteatus2.png,0
occidentalis3.png,balteatus2.png,0
pennsylvanicus1.png,balteatus2.png,0
pennsylvanicus2.png,balteatus2.png,0
pennsylvanicus3.png,balteatus2.png,0
perplexus.png,balteatus2.png,0
rufocinctus1.png,balteatus2.png,0
rufocinctus2.png,balteatus2.png,0
rufocinctus3.png,balteatus2.png,0
rufocinctus4.png,balteatus2.png,0
sandersoni.png,balteatus2.png,0
sitkensis.png,balteatus2.png,0
sylvicola1.png,balteatus2.png,0
sylvicola2.png,balteatus2.png,0
sylvicola3.png,balteatus2.png,0
ternarius.png,balteatus2.png,0
terricola1.png,balteatus2.png,0
terricola2.png,balteatus2.png,0
vagans.png,balteatus2.png,0
vandykei.png,balteatus2.png,0
vosnesenskii.png,balteatus2.png,0
affinis.png,balteatus.png,0
appositus.png,balteatus.png,0
auricomus1.png,balteatus.png,0
auricomus.png,balteatus.png,0
balteatus1.png,balteatus.png,0
balteatus2.png,balteatus.png,0
balteatus.png,balteatus.png,0
bifarius1.png,balteatus.png,0
bifarius2.png,balteatus.png,0
bifarius3.png,balteatus.png,0
bifarius4.png,balteatus.png,0
bimaculatus.png,balteatus.png,0
borealis1.png,balteatus.png,0
borealis2.png,balteatus.png,0
californicus1.png,balteatus.png,0
californicus2.png,balteatus.png,0
californicus3.png,balteatus.png,0
caliginosus2.png,balteatus.png,0
caliginosus.png,balteatus.png,0
centralis.png,balteatus.png,0
crotchii1.png,balteatus.png,0
crotchii2.png,balteatus.png,0
crotchii.png,balteatus.png,0
fervidus.png,balteatus.png,0
flavifrons1.png,balteatus.png,0
flavifrons2.png,balteatus.png,0
flavifrons3.png,balteatus.png,0
flavifrons4.png,balteatus.png,0
flavifrons5.png,balteatus.png,0
flavifrons6.png,balteatus.png,0
franklini.png,balteatus.png,0
fraternus.png,balteatus.png,0
frigidus.png,balteatus.png,0
griseocollis.png,balteatus.png,0
huntii.png,balteatus.png,0
impatiens.png,balteatus.png,0
melanopygus1.png,balteatus.png,0
melanopygus2.png,balteatus.png,0
melanopygus3.png,balteatus.png,0
mixtus.png,balteatus.png,0
morrisoni.png,balteatus.png,0
nevadensis.png,balteatus.png,0
occidentalis1.png,balteatus.png,0
occidentalis2.png,balteatus.png,0
occidentalis3.png,balteatus.png,0
pennsylvanicus1.png,balteatus.png,0
pennsylvanicus2.png,balteatus.png,0
pennsylvanicus3.png,balteatus.png,0
perplexus.png,balteatus.png,0
rufocinctus1.png,balteatus.png,0
rufocinctus2.png,balteatus.png,0
rufocinctus3.png,balteatus.png,0
rufocinctus4.png,balteatus.png,0
sandersoni.png,balteatus.png,0
sitkensis.png,balteatus.png,0
sylvicola1.png,balteatus.png,0
sylvicola2.png,balteatus.png,0
sylvicola3.png,balteatus.png,0
ternarius.png,balteatus.png,0
terricola1.png,balteatus.png,0
terricola2.png,balteatus.png,0
vagans.png,balteatus.png,0
vandykei.png,balteatus.png,0
vosnesenskii.png,balteatus.png,0
affinis.png,bifarius1.png,0
appositus.png,bifarius1.png,0
auricomus1.png,bifarius1.png,0
auricomus.png,bifarius1.png,0
balteatus1.png,bifarius1.png,0
balteatus2.png,bifarius1.png,0
