,img1,img2,distance
0,affinis.png,affinis.png,[0.]
1,appositus.png,affinis.png,[0.04312286]
2,auricomus.png,affinis.png,[0.01937129]
3,auricomus1.png,affinis.png,[0.01744303]
4,balteatus.png,affinis.png,[0.03622244]
5,balteatus1.png,affinis.png,[0.02986884]
6,balteatus2.png,affinis.png,[0.01436007]
7,bifarius1.png,affinis.png,[0.03231082]
8,bifarius2.png,affinis.png,[0.03357481]
9,bifarius3.png,affinis.png,[0.03230825]
10,bifarius4.png,affinis.png,[0.03216892]
11,bimaculatus.png,affinis.png,[0.02785563]
12,borealis1.png,affinis.png,[0.04312286]
13,borealis2.png,affinis.png,[0.03218078]
14,californicus1.png,affinis.png,[0.02981879]
15,californicus2.png,affinis.png,[0.03525755]
16,californicus3.png,affinis.png,[0.03222654]
17,caliginosus.png,affinis.png,[0.03594745]
18,caliginosus2.png,affinis.png,[0.04401783]
19,centralis.png,affinis.png,[0.02530408]
20,crotchii.png,affinis.png,[0.03426112]
21,crotchii1.png,affinis.png,[0.03416971]
22,crotchii2.png,affinis.png,[0.02253773]
23,fervidus.png,affinis.png,[0.02876551]
24,flavifrons1.png,affinis.png,[0.04369947]
25,flavifrons2.png,affinis.png,[0.04904677]
26,flavifrons3.png,affinis.png,[0.03381774]
27,flavifrons4.png,affinis.png,[0.02977607]
28,flavifrons5.png,affinis.png,[0.01852876]
29,flavifrons6.png,affinis.png,[0.03100525]
30,franklini.png,affinis.png,[0.05417668]
31,fraternus.png,affinis.png,[0.00887632]
32,frigidus.png,affinis.png,[0.02602872]
33,griseocollis.png,affinis.png,[0.02429543]
34,huntii.png,affinis.png,[0.02612247]
35,impatiens.png,affinis.png,[0.02405187]
36,melanopygus1.png,affinis.png,[0.03707193]
37,melanopygus2.png,affinis.png,[0.03364006]
38,melanopygus3.png,affinis.png,[0.03692149]
39,mixtus.png,affinis.png,[0.04266334]
40,morrisoni.png,affinis.png,[0.0415273]
41,nevadensis.png,affinis.png,[0.0305428]
42,occidentalis1.png,affinis.png,[0.04714232]
43,occidentalis2.png,affinis.png,[0.05567413]
44,occidentalis3.png,affinis.png,[0.04500815]
45,pennsylvanicus1.png,affinis.png,[0.01586108]
46,pennsylvanicus2.png,affinis.png,[0.02400141]
