image,X,Y
affinis.png,-4.49419263777443,-6.07748182726298
appositus.png,-2.70732484049713,2.46291768240732
auricomus.png,-4.57397487348182,-3.39059028736034
auricomus1.png,-4.01222197088892,-3.11721205457983
balteatus.png,-1.95307686529834,1.89431898171673
balteatus1.png,-1.39520677160387,2.60550590101375
balteatus2.png,-2.82082666333204,-2.92514618306068
bifarius1.png,2.08803978736472,2.6609288154253
bifarius2.png,4.82168394689116,3.91541641929483
bifarius3.png,5.397359995482,4.72124440850963
bifarius4.png,5.39250841032536,4.30843665082358
bimaculatus.png,-0.328907924944817,-7.2156371882439
borealis1.png,-2.69993781414329,2.43754359082019
borealis2.png,-2.082762677068,0.851831232319401
californicus1.png,3.2807279884033,2.29766816567792
californicus2.png,4.70577971092723,3.23586076966757
californicus3.png,6.45447194915271,4.65870280411737
caliginosus.png,6.18211933178586,4.90514445658893
caliginosus2.png,7.07117902937439,7.39673599956609
centralis.png,-2.36415187364324,-0.471756402068431
crotchii.png,2.16738815830284,1.51799348036646
crotchii1.png,2.51444549041485,1.97901942111595
crotchii2.png,-5.3708201811915,-5.6925946102168
fervidus.png,-2.33675293264612,0.0295105030549778
flavifrons1.png,0.250694900268962,-2.6101604069657
flavifrons2.png,-3.03399228245336,1.53507024403591
flavifrons3.png,-3.45355097985346,-6.22394671924838
flavifrons4.png,-2.94582311250898,-7.27308413298638
flavifrons5.png,-3.49077189370718,-6.92347619628313
flavifrons6.png,-2.94668778583624,-7.31123900045168
franklini.png,6.9746593969862,7.92167370104754
fraternus.png,-2.76894498274389,-5.01043174933736
frigidus.png,-1.23975830410011,2.18752913217148
griseocollis.png,-0.262696232643025,-7.30964153504745
huntii.png,0.633909323726709,3.13882555460298
impatiens.png,-0.518006354030782,-7.30201817000365
melanopygus1.png,4.73957211752023,5.36152322067431
melanopygus2.png,0.301850100729851,4.17281664492824
melanopygus3.png,-0.0711564350928078,4.43958183636448
mixtus.png,0.209555423566211,1.8550632615825
morrisoni.png,0.661580377692967,-2.83902584094774
nevadensis.png,0.533988041952303,-3.15471269695791
occidentalis1.png,-1.12710283235488,2.92031596752614
occidentalis2.png,6.40712194079514,7.66912775448871
occidentalis3.png,6.1186947447779,7.36394351460084
pennsylvanicus1.png,-3.19131705605755,-2.39931169723575
pennsylvanicus2.png,-4.76176181991422,-3.93873539643637
pennsylvanicus3.png,-5.22827612524335,-3.87990107364985
perplexus.png,0.459488200785427,-3.75540503771851
rufocinctus1.png,-2.32946957105478,-0.658844832879509
rufocinctus2.png,-4.08129493418759,-4.88069128268523
rufocinctus3.png,-4.12686236258653,-5.25454240852119
rufocinctus4.png,-3.10098452556799,-4.00641855218842
sandersoni.png,-3.18979113162425,-5.22074654743204
sitkensis.png,1.92099486129852,5.07167098190453
sylvicola1.png,0.63485727033381,3.7321914698695
sylvicola2.png,5.0985389161905,3.70460634814699
sylvicola3.png,2.08338325762813,3.4548460984046
ternarius.png,1.50854283860693,2.61084407020224
terricola1.png,-5.22905858941214,-3.88481605913659
terricola2.png,-4.62484391974059,-2.42603191584639
vagans.png,-3.03889088601787,-5.48313917955554
vandykei.png,6.65604300963064,3.91919933574465
vosnesenskii.png,6.63202162233024,7.6991305655261
